host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,accommodates,bathrooms,bedrooms,beds,amenities,price,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,review_scores_rating
hours,100.0,0,3.0,3.0,5,1,2,1.0,1.0,2.0,15,59,2,39,2,21,164,0,0,strict,0,0,3,1.43,92.0
< 1 hour ,100.0,1,7.0,7.0,4,1,4,1.0,2.0,3.0,30,39,1,25,1,730,7,0,0,moderate,0,0,7,0.26,97.0
1 day,80.0,0,4.0,4.0,5,1,2,1.0,0.0,1.0,34,225,2,0,1,1125,29,0,0,strict,1,1,2,0.29,97.0
1 day,94.0,0,6.0,6.0,4,1,2,1.0,1.0,1.0,17,70,2,50,5,730,27,0,0,strict,0,0,3,0.27,97.0
< 1 hour ,100.0,0,1.0,1.0,5,1,3,1.0,1.0,3.0,25,89,1,0,1,730,181,0,0,moderate,0,0,1,4.34,90.0
1 day,50.0,0,1.0,1.0,10,1,3,1.0,1.0,2.0,13,150,1,0,1,30,26,0,0,strict,0,0,1,0.26,88.0
days,40.0,0,1.0,1.0,3,1,2,1.0,1.0,2.0,16,150,2,0,1,6,58,0,0,strict,0,0,1,0.53,93.0
1 day,60.0,0,2.0,2.0,4,1,2,1.133758653454595,1.0,1.0,6,60,1,30,45,730,51,0,0,strict,0,0,2,0.48,90.0
< 1 hour ,93.48038995125609,0,1.0,1.0,3,1,4,1.5,3.0,2.0,14,253,4,25,4,30,1,0,0,strict,0,0,1,0.02,97.0
< 1 hour ,100.0,0,1.0,1.0,6,1,2,1.0,1.0,1.0,37,129,2,0,3,14,64,1,0,strict,0,1,1,0.59,93.0
hours,100.0,0,1.0,1.0,4,1,2,1.0,1.0,1.0,14,79,1,12,2,14,371,0,0,strict,0,0,1,3.45,84.0
< 1 hour ,93.48038995125609,1,1.0,1.0,5,1,1,1.0,1.0,1.0,16,79,1,0,2,14,118,0,0,flexible,1,1,1,1.14,98.0
hours,100.0,0,4.0,4.0,6,1,3,1.0,1.0,2.0,24,120,2,10,1,1125,146,0,0,strict,0,0,4,1.41,93.0
1 day,100.0,0,1.0,1.0,4,1,2,1.0,1.0,1.0,16,135,1,0,5,365,37,0,0,strict,0,0,1,0.34,94.0
hours,100.0,0,2.0,2.0,8,1,2,1.0,1.0,1.0,24,145,1,0,7,30,25,0,0,strict,0,0,1,0.23,91.0
hours,100.0,1,1.0,1.0,4,1,2,1.0,1.0,1.0,14,126,1,0,2,6,143,0,0,moderate,1,1,1,1.31,97.0
hours,100.0,0,3.0,3.0,7,1,2,1.133758653454595,1.0,1.0,21,82,1,16,4,15,148,0,0,strict,1,0,3,1.37,93.0
1 day,60.0,0,2.0,2.0,5,1,2,1.0,1.0,1.0,11,110,1,25,1,10,66,0,0,moderate,1,1,2,0.64,92.0
hours,100.0,0,2.0,2.0,5,1,1,1.0,1.0,1.0,24,175,1,10,3,365,24,0,0,strict,0,0,1,0.23,96.0
< 1 hour ,100.0,0,1.0,1.0,3,1,3,1.0,1.1637304856895057,1.0,16,140,2,20,2,90,86,0,0,strict,0,0,1,0.8,90.0
hours,100.0,1,4.0,4.0,5,1,1,1.0,1.0,1.0,10,95,1,95,4,365,225,1,0,moderate,0,0,2,2.21,97.0
< 1 hour ,100.0,1,2.0,2.0,4,1,4,1.0,1.0,2.0,21,215,2,30,2,30,144,1,0,moderate,0,0,2,1.45,96.0
< 1 hour ,100.0,0,1.0,1.0,5,1,2,1.133758653454595,1.1637304856895057,1.0,7,144,1,0,9,32,61,0,0,strict,0,0,1,0.59,92.0
< 1 hour ,93.48038995125609,1,1.0,1.0,4,1,3,1.0,1.0,1.0,27,120,2,25,1,180,209,0,0,strict,1,1,1,1.97,96.0
< 1 hour ,93.48038995125609,0,2.312898413128984,2.312898413128984,1,1,4,1.0,1.1637304856895057,2.0,12,299,1,0,3,90,10,0,0,strict,0,0,1,0.1,98.0
< 1 hour ,100.0,0,2.0,2.0,4,1,4,1.0,1.0,2.0,2,225,1,0,3,10,14,0,0,moderate,0,0,1,0.14,95.0
< 1 hour ,100.0,0,7.0,7.0,5,1,4,3.0,1.0,2.0,23,130,3,30,2,90,103,1,0,moderate,0,1,7,1.01,93.0
< 1 hour ,100.0,0,7.0,7.0,5,1,2,1.0,1.0,2.0,17,110,2,30,1,180,26,0,0,moderate,0,1,7,0.29,94.0
< 1 hour ,100.0,0,7.0,7.0,5,1,3,1.0,1.0,2.0,30,110,2,30,2,730,51,1,0,flexible,0,1,7,0.51,90.0
hours,100.0,0,3.0,3.0,5,1,3,1.0,1.0,2.0,19,49,2,39,2,21,131,0,0,strict,0,0,3,2.17,91.0
< 1 hour ,93.48038995125609,0,2.0,2.0,5,1,6,1.5,3.0,4.0,16,350,4,40,4,35,11,0,0,strict,1,1,2,0.14,96.0
< 1 hour ,95.0,0,2.0,2.0,4,1,5,1.0,1.0,4.0,15,120,4,15,2,365,56,0,0,strict,1,1,2,0.54,95.0
hours,100.0,0,2.0,2.0,7,1,2,1.0,0.0,1.0,10,135,2,50,1,365,239,0,0,strict,0,1,2,2.35,94.0
