####### Examples of weights, y = 0 ########
(-8.259999999999868, 'not')
(-4.599999999999946, 'no')
(-3.869999999999962, 'we')
(-3.279999999999974, 'good')
(-2.5599999999999894, 'host')
(-2.4599999999999915, 'it')
(-2.3199999999999945, 'that')
(-2.2199999999999966, 'Susan')
(-2.149999999999998, 'Pam')
(-2.1399999999999983, 'les')
(-2.0899999999999994, 'dirty')
(-2.0300000000000007, 'Andrea')
(-2.020000000000001, 'on')
(-2.010000000000001, 'Doris')
(-1.9100000000000013, 'or')
(-1.9100000000000013, 'there')
(-1.9000000000000015, 'quite')
(-1.8800000000000017, 'the')
(-1.7400000000000013, '.')
(-1.7100000000000013, 'floor')
(-1.7000000000000013, 'nous')
(-1.670000000000001, 'were')
(-1.6600000000000013, 'David')
(-1.6600000000000013, 'pas')
(-1.6400000000000012, 'It')
(-1.6300000000000012, 'one')
(-1.6000000000000012, 'wasnt')
(-1.5800000000000012, 'night')
(-1.5700000000000012, 'nos')
(-1.5500000000000012, 'East')
(-1.5500000000000012, 'Sharma')
(-1.5200000000000011, ',')
(-1.520000000000001, 'que')
(-1.5100000000000011, '-')
(-1.500000000000001, 'only')
(-1.480000000000001, 'enjoyed')
(-1.4500000000000008, 'I')
(-1.440000000000001, 'stuff')
(-1.430000000000001, 'No')
(-1.420000000000001, 'didnt')
(-1.4100000000000008, 'but')
(-1.400000000000001, 'Good')
(-1.400000000000001, 'friends')
(-1.400000000000001, 'people')
(-1.370000000000001, 'i')
(-1.360000000000001, 'some')
(-1.350000000000001, 'because')
(-1.340000000000001, 'due')
(-1.320000000000001, 'Pola')
(-1.310000000000001, 'apartment')
(-1.300000000000001, 'Eugene')
(-1.290000000000001, 'Alan')
(-1.280000000000001, '3')
(-1.280000000000001, 'as')
(-1.270000000000001, 'find')
(-1.2400000000000009, 'John')
(-1.2300000000000009, 'Forest')
(-1.2200000000000009, 'But')
(-1.2100000000000009, 'If')
(-1.2000000000000008, 'Dawn')
(-1.1700000000000008, 'much')
(-1.1700000000000008, 'sleep')
(-1.1600000000000008, 'bathroom')
(-1.1500000000000008, 'looking')
(-1.1400000000000006, 'in')
(-1.1200000000000008, 'beds')
(-1.1100000000000008, 'arrival.')
(-1.1000000000000008, 'reservation')
(-1.090000000000001, 'very')
(-1.0900000000000007, 'qui')
(-1.0800000000000007, 'apartamento')
(-1.0800000000000007, 'she')
(-1.0800000000000007, 'someone')
(-1.0800000000000007, 'water')
(-1.0500000000000007, 'other')
(-1.0500000000000007, 'un')
(-1.0400000000000007, 'out')
(-1.0400000000000005, 'be')
(-1.0200000000000007, 'Carlos')
(-1.0200000000000007, 'dont')
(-1.0200000000000007, 'la')
(-1.0200000000000007, 'located')
(-1.0100000000000007, '4')
(-0.9900000000000007, 'Central')
(-0.9700000000000006, 'apt')
(-0.9700000000000006, 'stayed')
(-0.9600000000000006, 'Kayla')
(-0.9600000000000006, 'Nicolas')
(-0.9600000000000006, 'needed')
(-0.9600000000000006, 'toilet')
(-0.9500000000000007, 'apartment.')
(-0.9400000000000006, 'cleaning')
(-0.9400000000000006, 'el')
(-0.9400000000000006, 'neighborhood,')
(-0.9100000000000006, 'Host')
(-0.9100000000000006, 'did')
(-0.9100000000000006, 'dirty,')
(-0.9100000000000006, 'keys')
(-0.9100000000000006, 'work')
(-0.9000000000000006, 'deal')
####### Examples of weights, y = 1 ########
